iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.33549589394139834,0.08049009552979511,nan,1987.60546875,2136.11328125,1987.60546875,1987.60546875,1987.60546875,1987.60546875
2,0.18791478761900143,0.014490125589989189,59.77419785130769,1987.56640625,2136.11328125,1987.60546875,1987.60546875,1987.60546875,1987.56640625
3,0.18063578271164055,0.009253030068576147,59.82312949933112,1987.5703125,2136.11328125,1987.56640625,1987.56640625,1987.56640625,1987.5703125
4,0.1767478181483372,0.004676873595784066,60.689385066740215,1987.5703125,2136.11328125,1987.5703125,1987.5703125,1987.5703125,1987.5703125
5,0.17509509366179374,0.003625264617814496,59.51534880604595,1987.57421875,2136.11328125,1987.5703125,1987.5703125,1987.5703125,1987.57421875
6,0.17180074538000295,0.00481497797270284,59.879359557293355,1987.578125,2136.11328125,1987.57421875,1987.57421875,1987.57421875,1987.578125
7,0.16661562746887515,0.003930022086988286,60.001707937568426,1987.578125,2136.11328125,1987.578125,1987.578125,1987.578125,1987.578125
8,0.16384117049311014,0.004123061513439175,59.941579373553395,1987.578125,2136.11328125,1987.578125,1987.578125,1987.578125,1987.578125
9,0.1632414298644687,0.0007410113428047253,59.59106905851513,1987.578125,2136.11328125,1987.578125,1987.578125,1987.578125,1987.578125
10,0.16320170977151016,0.00044220384440203967,59.120799572207034,1987.578125,2136.11328125,1987.578125,1987.578125,1987.578125,1987.578125
11,0.16298533858257314,0.0010557886324475097,57.87959472183138,1987.58203125,2136.11328125,1987.578125,1987.578125,1987.578125,1987.58203125
12,0.16251304191636695,0.0018977743222141283,58.307531704194844,1987.625,2136.11328125,1987.58203125,1987.58203125,1987.58203125,1987.625
13,0.15855081785457162,0.004484582788526902,58.86275777965784,1987.76953125,2136.11328125,1987.625,1987.76953125,1987.76953125,1987.76953125
14,0.15765452910743538,0.00238380041789956,59.535994161851704,1987.76953125,2136.11328125,1987.76953125,1987.76953125,1987.76953125,1987.76953125
15,0.1570000438973432,0.0009049508982985683,58.886818040162325,1987.76953125,2136.11328125,1987.76953125,1987.76953125,1987.76953125,1987.76953125
16,0.15682622873775237,0.001051550391367422,58.50294656958431,1987.76953125,2136.11328125,1987.76953125,1987.76953125,1987.76953125,1987.76953125
17,0.15658917895979177,0.0009032045106096259,116.77053715940565,1987.7734375,2136.11328125,1987.7734375,1987.7734375,1987.7734375,1987.7734375
18,0.15616287120663794,0.0018676356475074442,58.15575139038265,1987.77734375,2136.11328125,1987.7734375,1987.7734375,1987.7734375,1987.77734375
19,0.1559661933514904,0.0016766771028086946,58.02122902031988,1987.77734375,2136.11328125,1987.77734375,1987.77734375,1987.77734375,1987.77734375
20,0.15578001278022657,0.0003446771171502725,57.91817886289209,1987.77734375,2136.11328125,1987.77734375,1987.77734375,1987.77734375,1987.77734375
21,0.15576897209034463,0.00024921275887239294,58.166195100173354,1987.78125,2136.11328125,1987.77734375,1987.77734375,1987.77734375,1987.78125
22,0.1557443997599718,0.00036017490937856545,58.02968627307564,1987.78515625,2136.11328125,1987.78125,1987.78125,1987.78125,1987.78515625
23,0.1557239110214161,0.00043575367074695075,57.86864033062011,1987.7890625,2136.11328125,1987.78515625,1987.78515625,1987.78515625,1987.7890625
24,0.15567991628049105,0.0005735058699879017,57.238208833150566,1987.79296875,2136.11328125,1987.7890625,1987.7890625,1987.7890625,1987.79296875
25,0.1556547761277039,0.00048488254323231054,57.891604891978204,1987.79296875,2136.11328125,1987.79296875,1987.79296875,1987.79296875,1987.79296875
26,0.1555968103098,0.00012749497234100255,57.85261267889291,1987.796875,2136.11328125,1987.79296875,1987.79296875,1987.79296875,1987.796875
27,0.15559403734855515,9.01003172061856e-05,57.65085464529693,1987.796875,2136.11328125,1987.796875,1987.796875,1987.796875,1987.796875
