control_name,model,model_cost,true_cost,abs_error,rel_error,z_l2_norm,z_linf_norm
const_0,linear,0.1392422238170421,0.2095402168734128,0.07029799305637069,0.3354868774371797,0.0,0.0
const_0,quadratic,0.20101886383407971,0.2095402168734128,0.008521353039333074,0.04066690951494521,0.0,0.0
const_0,mixture_linear_kle,0.17412635132412907,0.2095402168734128,0.03541386554928372,0.1690074873344142,0.0,0.0
const_0,mixture_linear_hep,0.19000897453969165,0.2095402168734128,0.01953124233372114,0.09320999388637806,0.0,0.0
const_0,mixture_quadratic_kle,0.1986485350903642,0.2095402168734128,0.010891681783048585,0.05197895633385001,0.0,0.0
const_0,mixture_quadratic_hep,0.21147488697232675,0.2095402168734128,0.0019346700989139598,0.009232929734356105,0.0,0.0
const_05,linear,0.03351142040431683,0.055288686506349737,0.021777266102032906,0.3938828624465849,24.62214450449026,0.5
const_05,quadratic,0.052009213698723376,0.055288686506349737,0.00327947280762636,0.05931544073215996,24.62214450449026,0.5
const_05,mixture_linear_kle,0.044417054541332414,0.055288686506349737,0.010871631965017323,0.1966339345712029,24.62214450449026,0.5
const_05,mixture_linear_hep,0.04962968683349013,0.055288686506349737,0.005658999672859606,0.10235366456408197,24.62214450449026,0.5
const_05,mixture_quadratic_kle,0.05196301866164761,0.055288686506349737,0.003325667844702125,0.0601509649595344,24.62214450449026,0.5
const_05,mixture_quadratic_hep,0.05628280971741538,0.055288686506349737,0.0009941232110656437,0.01798059013305501,24.62214450449026,0.5
const_1,linear,0.01134481801231791,0.012416331985520607,0.0010715139732026969,0.0862987534847047,49.24428900898052,1.0
const_1,quadratic,0.012203709801778389,0.012416331985520607,0.00021262218374221847,0.0171243958352732,49.24428900898052,1.0
const_1,mixture_linear_kle,0.01185236699908453,0.012416331985520607,0.000563964986436077,0.0454212231997138,49.24428900898052,1.0
const_1,mixture_linear_hep,0.012129720256011252,0.012416331985520607,0.0002866117295093548,0.023083446048606713,49.24428900898052,1.0
const_1,mixture_quadratic_kle,0.012228560587373616,0.012416331985520607,0.00018777139814699084,0.01512293633626757,49.24428900898052,1.0
const_1,mixture_quadratic_hep,0.012469337318940982,0.012416331985520607,5.300533342037471e-05,0.004269000980497884,49.24428900898052,1.0
affine_small,linear,0.033260129878330505,0.05498066418628216,0.021720534307951657,0.3950576921799172,24.882591056270872,0.625
affine_small,quadratic,0.05166850445708651,0.05498066418628216,0.0033121597291956503,0.060242264771003695,24.882591056270872,0.625
affine_small,mixture_linear_kle,0.04414197568501796,0.05498066418628216,0.010838688501264203,0.1971363689703932,24.882591056270872,0.625
affine_small,mixture_linear_hep,0.049362056491091405,0.05498066418628216,0.005618607695190757,0.10219243034522336,24.882591056270872,0.625
affine_small,mixture_quadratic_kle,0.05166786467762898,0.05498066418628216,0.0033127995086531803,0.06025390121568836,24.882591056270872,0.625
affine_small,mixture_quadratic_hep,0.05600605520626566,0.05498066418628216,0.0010253910199835015,0.018650029699701948,24.882591056270872,0.625
affine_large,linear,0.031467909973480736,0.05254010075995193,0.02107219078647119,0.40106871668836275,26.086694405386055,0.8
affine_large,quadratic,0.04902430569310268,0.05254010075995193,0.0035157950668492505,0.06691641272087404,26.086694405386055,0.8
affine_large,mixture_linear_kle,0.04195522880988599,0.05254010075995193,0.010584871950065938,0.20146272650725733,26.086694405386055,0.8
affine_large,mixture_linear_hep,0.04707597734909729,0.05254010075995193,0.005464123410854636,0.1039991041475048,26.086694405386055,0.8
affine_large,mixture_quadratic_kle,0.049223901152657595,0.05254010075995193,0.0033161996072943317,0.06311749614728691,26.086694405386055,0.8
affine_large,mixture_quadratic_hep,0.0535217924756494,0.05254010075995193,0.0009816917156974733,0.01868461806311868,26.086694405386055,0.8
random_small,linear,0.03388446893267444,0.055850418405039536,0.021965949472365097,0.3932996403547632,24.927360520634203,0.7988247588403308
random_small,quadratic,0.052551839751414385,0.055850418405039536,0.0032985786536251505,0.05906094793602317,24.927360520634203,0.7988247588403308
random_small,mixture_linear_kle,0.044887616143383005,0.055850418405039536,0.01096280226165653,0.1962886326500166,24.927360520634203,0.7988247588403308
random_small,mixture_linear_hep,0.05014209618473722,0.055850418405039536,0.005708322220302313,0.10220733135612885,24.927360520634203,0.7988247588403308
random_small,mixture_quadratic_kle,0.05249765387170053,0.055850418405039536,0.003352764533339006,0.0600311444226616,24.927360520634203,0.7988247588403308
random_small,mixture_quadratic_hep,0.05685253921310927,0.055850418405039536,0.0010021208080697314,0.017942941820097577,24.927360520634203,0.7988247588403308
random_large,linear,0.029005890214282716,0.047948364181446095,0.01894247396716338,0.3950598584652713,28.67577844306904,1.0
random_large,quadratic,0.04486326839473587,0.047948364181446095,0.0030850957867102277,0.0643420446010549,28.67577844306904,1.0
random_large,mixture_linear_kle,0.03841551847994895,0.047948364181446095,0.009532845701497143,0.19881482641249176,28.67577844306904,1.0
random_large,mixture_linear_hep,0.042990189131360344,0.047948364181446095,0.00495817505008575,0.10340655275168585,28.67577844306904,1.0
random_large,mixture_quadratic_kle,0.044953436243011805,0.047948364181446095,0.00299492793843429,0.062461524799905375,28.67577844306904,1.0
random_large,mixture_quadratic_hep,0.048766673062369204,0.047948364181446095,0.000818308880923109,0.017066460866662025,28.67577844306904,1.0
