model,mean_abs_error,max_abs_error,mean_rel_error,max_rel_error
linear,0.025263988809365374,0.07029799305637069,0.3428792001509691,0.40106871668836275
quadratic,0.00360358246672599,0.008521353039333074,0.05252405944447631,0.06691641272087404
mixture_linear_kle,0.012681238702174422,0.03541386554928372,0.17210931423506998,0.20146272650725733
mixture_linear_hep,0.006746583158931937,0.01953124233372114,0.09006464615708709,0.1039991041475048
mixture_quadratic_kle,0.003911687516231215,0.010891681783048585,0.053302417745027746,0.06311749614728691
mixture_quadratic_hep,0.000972758724010542,0.0019346700989139598,0.014832367328212748,0.01868461806311868
