iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.24821990440383032,0.010937699870631593,nan,1841.30078125,1862.984375,1841.296875,1841.296875,1841.296875,1841.30078125
2,0.021317787112554304,0.002009575945580757,51.53787425812334,1841.3046875,1862.984375,1841.30078125,1841.3046875,1841.3046875,1841.3046875
3,0.020936062015276626,0.0010265762433006738,110.13087343610823,1841.3046875,1862.984375,1841.3046875,1841.3046875,1841.3046875,1841.3046875
4,0.020742036510005675,0.0006765647574490165,45.69500897452235,1841.3046875,1862.984375,1841.3046875,1841.3046875,1841.3046875,1841.3046875
5,0.020581765585088067,7.457008029825309e-05,89.91939370334148,1841.3046875,1862.984375,1841.3046875,1841.3046875,1841.3046875,1841.3046875
