iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.2482752010164724,0.010811429098901442,nan,1741.28125,1730.515625,1741.28125,1741.28125,1741.28125,1741.28125
2,0.1233696177671777,0.007315354935773697,39.25651877745986,1741.28125,1730.515625,1741.28125,1741.28125,1741.28125,1741.28125
3,0.02215569157670867,0.006368022783819937,9.9048443865031,1741.28125,1730.515625,1741.28125,1741.28125,1741.28125,1741.28125
4,0.01871178581705279,0.00020946408178081508,19.75776110868901,1741.28515625,1730.515625,1741.28125,1741.28515625,1741.28515625,1741.28515625
5,0.01864463825978558,6.718171721349989e-05,9.899443597532809,1741.28515625,1730.515625,1741.28515625,1741.28515625,1741.28515625,1741.28515625
