iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.24817653755244054,0.011399031922386834,nan,1779.51953125,1805.671875,1779.51171875,1779.515625,1779.515625,1779.51953125
2,0.029134267532022636,0.00556322583113967,1.7738117957487702,1779.5234375,1805.671875,1779.51953125,1779.5234375,1779.5234375,1779.5234375
3,0.02651184673545024,0.003264247311248848,3.97825791221112,1779.53515625,1805.671875,1779.52734375,1779.53125,1779.53125,1779.53515625
4,0.025068355035329472,0.002429209093683036,1.5860979808494449,1779.54296875,1805.671875,1779.53515625,1779.5390625,1779.5390625,1779.54296875
5,0.023381052484855034,0.00018122538182320882,1.4593014772981405,1779.546875,1805.671875,1779.54296875,1779.546875,1779.546875,1779.546875
6,0.023324008454888672,0.00015716962248776608,3.0138915851712227,1779.5546875,1805.671875,1779.546875,1779.55078125,1779.55078125,1779.5546875
7,0.02330264109072623,0.0003544625253241132,1.458144212141633,1779.5546875,1805.671875,1779.5546875,1779.5546875,1779.5546875,1779.5546875
8,0.023233166895360254,0.00012413738234356362,1.3681010883301497,1779.55859375,1805.671875,1779.5546875,1779.55859375,1779.55859375,1779.55859375
9,0.023225213510480985,7.349273187255798e-05,1.1817308580502868,1779.55859375,1805.671875,1779.55859375,1779.55859375,1779.55859375,1779.55859375
