model,mean_rel_error,max_rel_error
linear,0.17243358548021123,0.8339287644560949
quadratic,0.13665467156097091,0.7123472488331561
mixture_linear_kle,0.06009173264121348,0.2256816738832254
mixture_linear_hep,0.05969156436226668,0.20668129674847935
mixture_quadratic_kle,0.03302060518437978,0.10445254397654652
mixture_quadratic_hep,0.03660143779843412,0.10640685290953718
saa_39,0.12707619537756024,0.737431744567482
