control_name,model,model_cost,true_cost,rel_error,z_l2_norm,z_linf_norm
zero,linear,0.31602695466757114,0.3176526778059991,0.005117926754645026,0.0,0.0
zero,quadratic,0.3202037553156142,0.3176526778059991,0.008031027873698932,0.0,0.0
zero,mixture_linear_kle,0.31606411936494716,0.3176526778059991,0.005000928851045668,0.0,0.0
zero,mixture_linear_hep,0.3177262943062179,0.3176526778059991,0.0002317515492936263,0.0,0.0
zero,mixture_quadratic_kle,0.3201133316160657,0.3176526778059991,0.007746365706916553,0.0,0.0
zero,mixture_quadratic_hep,0.3194057259950618,0.3176526778059991,0.005518757786557472,0.0,0.0
zero,saa_39,0.3223059870733539,0.3176526778059991,0.014649047820074503,0.0,0.0
affine_small,linear,0.2616355894512981,0.2839354716294667,0.07853855684248474,4.4958314025327955,0.5
affine_small,quadratic,0.27452508494609934,0.2839354716294667,0.03314269481499595,4.4958314025327955,0.5
affine_small,mixture_linear_kle,0.2758441315449265,0.2839354716294667,0.02849710900193315,4.4958314025327955,0.5
affine_small,mixture_linear_hep,0.2753950680813713,0.2839354716294667,0.03007867773294817,4.4958314025327955,0.5
affine_small,mixture_quadratic_kle,0.28247973835153,0.2839354716294667,0.0051269863169347415,4.4958314025327955,0.5
affine_small,mixture_quadratic_hep,0.28124059953683483,0.2839354716294667,0.009491142748619468,4.4958314025327955,0.5
affine_small,saa_39,0.29715594820750774,0.2839354716294667,0.04656155323662289,4.4958314025327955,0.5
affine_large,linear,1.5054477799341515,9.065072437159944,0.8339287644560949,17.983325610131182,2.0
affine_large,quadratic,2.607593026075784,9.065072437159944,0.7123472488331561,17.983325610131182,2.0
affine_large,mixture_linear_kle,7.019251715668998,9.065072437159944,0.2256816738832254,17.983325610131182,2.0
affine_large,mixture_linear_hep,7.191491510728829,9.065072437159944,0.20668129674847935,17.983325610131182,2.0
affine_large,mixture_quadratic_kle,8.118202559766916,9.065072437159944,0.10445254397654652,17.983325610131182,2.0
affine_large,mixture_quadratic_hep,8.100486607724767,9.065072437159944,0.10640685290953718,17.983325610131182,2.0
affine_large,saa_39,15.749944619125397,9.065072437159944,0.737431744567482,17.983325610131182,2.0
sin_small,linear,0.2778995140441595,0.27614531155049143,0.006352461621812993,5.0,0.5
sin_small,quadratic,0.2824336165551347,0.27614531155049143,0.022771724673998323,5.0,0.5
sin_small,mixture_linear_kle,0.27453835729246373,0.27614531155049143,0.005819234261139655,5.0,0.5
sin_small,mixture_linear_hep,0.28032717519239664,0.27614531155049143,0.015143706834727759,5.0,0.5
sin_small,mixture_quadratic_kle,0.27888554171685825,0.27614531155049143,0.00992314571984245,5.0,0.5
sin_small,mixture_quadratic_hep,0.281675073500601,0.27614531155049143,0.020024826491028387,5.0,0.5
sin_small,saa_39,0.2803860952854083,0.27614531155049143,0.0153570730971526,5.0,0.5
sin_large,linear,0.20833606851926484,0.271986901078633,0.23402168379044963,20.0,2.0
sin_large,quadratic,0.22418581234282725,0.271986901078633,0.1757477604481628,20.0,2.0
sin_large,mixture_linear_kle,0.2313535276811638,0.271986901078633,0.14939459671155947,20.0,2.0
sin_large,mixture_linear_hep,0.2298780426237077,0.271986901078633,0.1548194353769683,20.0,2.0
sin_large,mixture_quadratic_kle,0.2495735797706109,0.271986901078633,0.08240588505967157,20.0,2.0
sin_large,mixture_quadratic_hep,0.24614790260912045,0.271986901078633,0.09500089293654013,20.0,2.0
sin_large,saa_39,0.28506991568304363,0.271986901078633,0.04810163486743893,20.0,2.0
random_small,linear,0.34233592154793085,0.3482165238155976,0.01688777489140889,5.878522895167144,0.9754315246489614
random_small,quadratic,0.3495466250628021,0.3482165238155976,0.003819753389729658,5.878522895167144,0.9754315246489614
random_small,mixture_linear_kle,0.34660991754686826,0.3482165238155976,0.004613813988850585,5.878522895167144,0.9754315246489614
random_small,mixture_linear_hep,0.3463458414991593,0.3482165238155976,0.005372181354118968,5.878522895167144,0.9754315246489614
random_small,mixture_quadratic_kle,0.3511201368840992,0.3482165238155976,0.008338527525015628,5.878522895167144,0.9754315246489614
random_small,mixture_quadratic_hep,0.3502644454535449,0.3482165238155976,0.005881173057232105,5.878522895167144,0.9754315246489614
random_small,saa_39,0.3541998370673248,0.3482165238155976,0.017182737872875106,5.878522895167144,0.9754315246489614
random_large,linear,0.363746417807769,0.37584406010713556,0.03218793000458243,20.313244191539255,2.819569417798316
random_large,quadratic,0.37557251619649945,0.37584406010713556,0.0007224908930546962,20.313244191539255,2.819569417798316
random_large,mixture_linear_kle,0.3752296408399551,0.37584406010713556,0.0016347717907403802,20.313244191539255,2.819569417798316
random_large,mixture_linear_hep,0.3779164270232021,0.37584406010713556,0.005513900939330565,20.313244191539255,2.819569417798316
random_large,mixture_quadratic_kle,0.38078670340223647,0.37584406010713556,0.013150781985730987,20.313244191539255,2.819569417798316
random_large,mixture_quadratic_hep,0.3810631880764786,0.37584406010713556,0.013886418659524141,20.313244191539255,2.819569417798316
random_large,saa_39,0.3796963024334836,0.37584406010713556,0.010249576181275743,20.313244191539255,2.819569417798316
