model,success,message,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error,opt_model_t,opt_true_var,opt_t_var_rel_error
linear,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,89,124,124,50.048348940385694,0.5188224410090887,1.2686754194320742,0.5910518694834169,0.059800341264246354,0.6551880203864081,0.9087279690660733,,0.39700194402420097,
quadratic,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,50,80,80,375.2756881784834,1.7160728984168712,0.655188021457642,1.6192067654091193,0.46664712042368117,0.5904051424988939,0.2096154202712497,0.33376561379540526,0.36273161166854634,0.07985517926022222
mixture_linear_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,24,24,52.85637074559927,0.515523777812208,0.6551880411699044,0.2131666858697721,0.4353428035008768,0.5320578827331126,0.18177548415488734,,0.34761360006401854,
mixture_linear_hep,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,23,23,59.11501796715893,0.5694755852992691,0.6551880411700025,0.1308211543630624,0.4680639624458401,0.5261266595774472,0.11035878162539706,,0.3497800421108814,
mixture_quadratic_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,77,97,97,321.82334879685385,0.5708345750062284,0.5904051310062126,0.0331476726271512,0.504549275002171,0.5232125745272957,0.03567058674380377,0.36685476247035315,0.3591798309117272,0.021367935775080105
mixture_quadratic_hep,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,76,84,84,525.2671654594351,0.5849735827114464,0.5904051310063891,0.009199696970255442,0.5100498822769958,0.523320758765719,0.025358972038532098,0.36951500380888885,0.361504116024749,0.022159879871440788
saa_1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155,295,295,62.088132940407,4.334653241714631,1.268674930090936,2.4166776208023064,7.398524574282092,0.6995491578523356,9.576132486523285,0.09443303212723177,0.4295890661919865,0.7801782224945434
saa_10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,191,469,469,132.49115496926518,7.358401665748814,1.2686754049580475,4.800066460650068,0.23728902382288905,0.6165999457197732,0.6151653507755415,0.23675361543137546,0.48922566143129187,0.5160646014791566
saa_20,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,119,262,262,79.4736000001274,7.656637064663536,1.2686744289298675,5.035147308141099,0.4824619331826744,0.5591885880240934,0.13721069507611836,0.4816281368532017,0.35554480381765086,0.35462009761283286
saa_50,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,224,488,488,96.37678071125993,7.546241149293459,1.2686751792569875,4.94812704833793,0.44966516293717107,0.5245042399490885,0.14268536135986568,0.34992909537130806,0.35193327159935855,0.005694762018215911
saa_100,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,259,400,400,84.46478487165739,7.451555704418938,1.268673784436067,4.873500182500578,0.538469498765875,0.5238173267234875,0.02797191176175457,0.35847478458696025,0.35755261904076663,0.002579104436901018
saa_200,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,228,414,414,144.49319686711635,7.171175974358242,1.2686754209943032,4.652490665215184,0.46937619325748214,0.5252473258013288,0.10637109376731896,0.3431190219137988,0.3493421810228233,0.017813935582596932
saa_500,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,154,265,265,254.64487912350444,7.328931729380014,1.2686754197875771,4.776837491347587,0.46880573501469547,0.5250942084895645,0.10719690403134134,0.34170638464216974,0.3494071819464813,0.022039607947987424
