iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.2134548054945199,0.20202833171112305,nan,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
2,0.20936939403457905,0.0834025521832696,9.956317145843059,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
3,0.20899653653192202,0.02728345088406457,9.983809212222695,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
4,0.2089167543761025,0.03311137968787027,4.966959985904396,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
5,0.2083069589579746,0.09851931773947435,5.222597119864076,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
6,0.20650797616895383,0.20507262676202534,5.449141272343695,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
7,0.20224485418878077,0.3354940591113678,5.548550808802247,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
8,0.19767470611209997,0.3316763791822133,5.5636310102418065,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
9,0.1905397619714275,0.12327281235593986,5.551142064854503,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
10,0.18739401741637673,0.1485404614386398,5.481893859803677,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
11,0.18605989136046724,0.2951724769868403,5.385152400005609,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
12,0.18122275816292682,0.3977683289233479,5.525500548072159,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
13,0.1568814395111452,0.5193159675068426,5.576474159024656,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
14,0.1310900490201063,0.6941189588371243,5.565427528228611,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
15,0.11732941782498485,0.6252743287367635,5.559235516004264,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
16,0.11025499995559956,0.34195197200347177,11.120202598627657,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
17,0.10815469868759305,0.35374275852637965,5.543221666011959,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
18,0.10570002310575996,0.1403673300815085,5.550132723990828,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
19,0.10551752025005152,0.021241525755925725,5.264440250117332,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
20,0.10543564099003849,0.015164971374004497,5.344302779994905,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
21,0.10542475863355466,0.006946042719788188,5.079995289910585,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
22,0.1054183780920804,0.0053107171038029545,5.045243141241372,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
23,0.10540461524788385,0.006889833272489719,5.026885305996984,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
24,0.10533738177718813,0.01796489289457097,5.235542039852589,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
25,0.10518966421384954,0.03435867073080897,5.311083327047527,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
26,0.1047942294693393,0.05688872738684327,5.431649837177247,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
27,0.10394552120336589,0.06134569392930166,5.4918139590881765,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
28,0.10175800014536421,0.10520206900548025,5.5234914678148925,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
29,0.09768707184904468,0.16227261569185214,5.554538939148188,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
30,0.09757135845614441,0.13895870173729102,11.09003294678405,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
31,0.09475854937442635,0.20771497548211207,5.537128204014152,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
32,0.09298603523108498,0.06267628920331918,5.520876770839095,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
33,0.09269504833282904,0.04151509321161907,5.464137312956154,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
34,0.09267860844550327,0.00728752808450942,5.150124132167548,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
35,0.09267796498787279,0.0017154387071937611,4.956600341945887,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
36,0.09267787986594243,0.0018785561621605482,4.948351128958166,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
37,0.0926771682016341,0.005826181963150482,4.949257789179683,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
38,0.09267580567955824,0.011297702379352969,4.948963295202702,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
39,0.09267172301297516,0.021771580068984584,4.968234728556126,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
40,0.09266151499147265,0.0382435797037403,4.984036947134882,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
41,0.09263430187303986,0.06607701836796172,5.03042970225215,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
42,0.09256487191108408,0.11183488049735633,5.086756668053567,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
43,0.09239216590823174,0.17768592023211918,5.212723969947547,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
44,0.09201184745006219,0.24109004137559806,5.352884386666119,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
45,0.0914850918606051,0.237753993659895,5.430604006163776,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
46,0.09148327747698211,0.20850211006130398,11.254993640817702,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
47,0.09110190569166171,0.1240149505914116,5.407336262054741,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
48,0.09098706251238145,0.018834930391703784,5.298998415935785,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
49,0.09098064294128504,0.009489549368076337,4.999321381095797,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
50,0.09097898115227526,0.013510238792420517,4.9516814718954265,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
51,0.09097112160559508,0.027015059046442948,4.984004097059369,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
52,0.09095292799350754,0.04697601216634097,5.014012767933309,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
53,0.09090353141891028,0.08021583132383037,5.062884978018701,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
54,0.09078130623279365,0.129385947424974,5.13011395232752,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
55,0.09048911988973052,0.19377560609322472,5.26287573389709,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
56,0.08989311692588475,0.2750958035154351,5.39075376605615,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
57,0.08897418500431686,0.31103091749375833,5.4466491267085075,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
58,0.08852908647129817,0.45099236639241397,5.543803511187434,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
59,0.08791114944981282,0.2696269302788683,11.070094387046993,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
60,0.08726085781324705,0.14013500989562938,5.380990208126605,3073.55859375,3087.25,3073.55859375,3073.55859375,3073.55859375,3073.55859375
