iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.1442463576025506,0.1442347732282993,nan,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
2,0.09547257961630437,0.07522103009880428,0.15241021011024714,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
3,0.0647381222896777,0.04174804070720705,0.14935810770839453,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
4,0.04279253479280187,0.02238258479012514,0.14928664825856686,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
5,0.028556822889783565,0.012066084615098019,0.14493680279701948,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
6,0.019274576827276926,0.0064228909804953565,0.1423464771360159,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
7,0.013492513450775819,0.0033669871174152456,0.13915930408984423,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
8,0.010119499949873222,0.0016995287638124838,0.14035177696496248,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
9,0.008416627296560193,0.0007963775588954567,0.1388944908976555,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
10,0.0077797921318403206,0.0003579539104330939,0.13918056385591626,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
11,0.007592218558079503,0.0001796529022523297,0.13962682895362377,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
12,0.007539361899856675,0.0001341164955197004,0.13018678314983845,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
13,0.007518435842617757,0.00012246098565117587,0.12458432512357831,55129.3125,55149.15625,55129.3125,55129.3125,55129.3125,55129.3125
