iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.4760879454550689,0.9000014432583886,0.0001,nan,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
2,0.3834542755280266,0.14146052782019589,0.0001,8.789350664941594,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
3,0.38289797714313495,0.017956040057720564,0.0001,15.49934724997729,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
4,0.3825472464595502,0.0435709999318117,0.0001,23.143954423023388,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
5,0.3800548111926898,0.1607163317907713,0.0001,8.462166404002346,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
6,0.37266296616193884,0.3402025362731269,0.0001,9.41185262997169,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
7,0.358990193686555,0.6200303100767027,0.0001,9.511066948994994,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
8,0.33685460303156384,0.8200024630740688,0.0001,9.553259614040144,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
9,0.3110692335979001,0.6400151538570852,0.0001,17.143903129035607,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
10,0.2869173095334311,0.20023737809367517,0.0001,9.171203944948502,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
11,0.28491621927915717,0.22047516091513794,0.0001,7.9198479109909385,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
12,0.2845786218124347,0.0999133969835032,0.0001,7.717752026044764,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
13,0.2840461058764208,0.011949603583184957,0.0001,7.735428916988894,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
14,0.2805619216680557,0.12044131665589604,0.0001,8.575802564970218,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
15,0.2779564478554652,0.14034817682828443,0.0001,8.340892279986292,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
16,0.274616134927144,0.08422391515931851,0.0001,8.421526444028132,3792.67578125,3862.2578125,3792.67578125,3792.67578125,3792.67578125,3792.67578125
