iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.5347757579888592,0.8691123067437637,0.01,nan,1598.1875,1677.1640625,1598.18359375,1598.18359375,1598.18359375,1598.1875
2,0.5253100951171833,0.6957192737329536,0.01,2.943118946859613,1598.1875,1677.1640625,1598.1875,1598.1875,1598.1875,1598.1875
3,0.5157442087109764,0.034128610595546144,0.01,2.930437893141061,1598.1875,1677.1640625,1598.1875,1598.1875,1598.1875,1598.1875
4,0.5157192892553338,0.010442289911593015,0.01,1.4506999738514423,1598.1875,1677.1640625,1598.1875,1598.1875,1598.1875,1598.1875
5,0.5157141102993008,0.010819798645287844,0.01,1.4795227069407701,1598.1875,1677.1640625,1598.1875,1598.1875,1598.1875,1598.1875
6,0.5156758396189858,0.026842531903362152,0.01,1.465629740152508,1598.1875,1677.1640625,1598.1875,1598.1875,1598.1875,1598.1875
7,0.5155998751003855,0.04646552169635413,0.01,1.46767243091017,1598.19140625,1677.1640625,1598.1875,1598.19140625,1598.19140625,1598.19140625
8,0.5153619122047958,0.08898028111897412,0.01,1.4632637270260602,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
9,0.5150707780463196,0.18796245863417174,0.01,1.523175876121968,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
10,0.5121639457851843,0.30326125665327774,0.01,3.269110780907795,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
11,0.49467450527154405,1.8695598574071115,0.01,2.0690915200393647,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
12,0.47317579265396537,0.7722944165373399,0.01,1.4706881700549275,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
13,0.4671700175658183,0.311601256289455,0.01,1.4684559078887105,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
14,0.4657488199235587,0.04359359272518377,0.01,1.4984002918936312,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
15,0.4656766743218453,0.01012049504422747,0.01,1.4979127780534327,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
16,0.4655987787286777,0.027301782552772585,0.01,1.500488362973556,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
17,0.4654871841410964,0.045857550030032494,0.01,1.504973127041012,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
18,0.4645708977588177,0.15692228767312344,0.01,1.8035829609725624,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
19,0.4634159866633022,0.2765348962013624,0.01,1.8027863730676472,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
20,0.4626407889186171,0.22517852371767197,0.01,1.5181373569648713,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
21,0.4600773696707555,0.13289981389953448,0.01,1.8041469359304756,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
22,0.45986673623004004,0.07754672523265455,0.01,1.4856873580720276,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
23,0.45946679344784186,0.016560235162131638,0.01,1.5073406300507486,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
24,0.45890578132405013,0.09213749447334936,0.01,1.5426400071009994,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
25,0.4567706634282481,0.16623485180215525,0.01,3.385306112933904,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
26,0.45618073357588323,0.13083548437781176,0.01,1.4630067839752883,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
27,0.4543708155258486,0.3971862716527369,0.01,1.768426385940984,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
28,0.4531959817951513,0.22007785979567215,0.01,1.4696549500804394,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
29,0.4524769192828348,0.056844300475537214,0.01,1.4724286568816751,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
30,0.45208776091425484,0.02235669763787637,0.01,1.4680725149810314,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
31,0.451041675801797,0.12309252352035942,0.01,1.7613747362047434,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
32,0.4508025888729819,0.09717518342064468,0.01,1.463430028874427,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
33,0.4501527327930221,0.19743356397124223,0.01,1.6741376689169556,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
34,0.4498288132505691,0.10306732604299186,0.01,1.471380477072671,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
35,0.4493389918788192,0.026517499037151896,0.01,1.468922563130036,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
36,0.4477876265289835,0.1262040568211397,0.01,1.7774735549464822,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
37,0.4471704407613257,0.11366808215971741,0.01,1.5468212380073965,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
38,0.4459991056271372,0.02052947798380123,0.01,1.674169319914654,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
39,0.4441977134428245,0.34824823929070187,0.01,1.7774144129361957,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
40,0.44345021360227116,0.25743121155242565,0.01,1.4785527379717678,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
41,0.4424768646316116,0.0134125291147351,0.01,1.472159975208342,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
42,0.44204868881732823,0.019482698777226762,0.01,4.424525372916833,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
43,0.44188926725525995,0.012561941654116322,0.01,1.4740763630252331,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
44,0.44134095119550276,0.018793087724360058,0.01,1.5957925198599696,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
45,0.44124086272714463,0.0162249625479925,0.01,1.4704636281821877,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
46,0.4404768919936082,0.011972719418971304,0.01,1.6596142458729446,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
47,0.44031589998447007,0.012647130193616558,0.01,1.4793016749899834,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
48,0.4350103659851732,0.017325328042432638,0.01,1.7950804971624166,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
49,0.4312701761602016,0.006746826408598125,0.01,1.7688062298111618,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
50,0.4310209057731804,0.006757521937314096,0.01,1.4772940350230783,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
51,0.41918678160814565,0.04060997586289599,0.01,2.0204087011516094,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
52,0.4191053633706887,0.015526208651709892,0.01,1.4490885178092867,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
53,0.41907057974793366,0.006546923225317452,0.01,1.4519463770557195,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
54,0.4189550619897498,0.04605282787938293,0.01,1.4450219180434942,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
55,0.4189128071720749,0.04755334287894921,0.01,1.4370342190377414,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
56,0.4180466314992398,0.014585550913224866,0.01,1.734757314901799,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
57,0.41803841337534126,0.009952722807788854,0.01,2.601646872004494,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
58,0.4180198661867928,0.00901951990209968,0.01,1.4389409890864044,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
59,0.41797541068044824,0.05403961792126443,0.01,1.4437369650695473,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
60,0.4179162244540818,0.02591228263009924,0.01,2.8794411718845367,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
61,0.4178076409327485,0.04086227689437808,0.01,1.442571384133771,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
62,0.41778667587664275,0.03282277059443458,0.01,1.4499606958124787,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
63,0.41768689512903695,0.03826747731028267,0.01,1.4474090719595551,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
64,0.41765065628194264,0.054081779458189774,0.01,1.4317004170734435,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
65,0.41760281877429706,0.039939665439258504,0.01,1.439572174102068,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
66,0.417567034780864,0.02027311413503545,0.01,1.4454217120073736,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
67,0.4175469328768391,0.006993531552778325,0.01,1.4437527158297598,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
68,0.41752114492997117,0.031051603111536517,0.01,1.4324316340498626,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
69,0.41748887768924364,0.03214457189271518,0.01,2.942434601020068,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
70,0.4173925168693467,0.014001764584397768,0.01,1.4502132791094482,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
71,0.4173746007602084,0.00846544560487618,0.01,1.434883528854698,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
72,0.417347519881103,0.009188733618044053,0.01,1.4455564829986542,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
73,0.41720483470987946,0.09202721071252914,0.01,1.711190412985161,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
74,0.4171677618237843,0.07587011903970674,0.01,1.4484713121782988,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
75,0.4170628610066311,0.010658935182764145,0.01,1.43067010701634,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
76,0.41704919324666395,0.012494390097557408,0.01,2.889811463886872,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
77,0.41699953749573926,0.011446342042274954,0.01,1.4637219519354403,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
78,0.41661829818214424,0.010785303640595049,0.01,1.731649364111945,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
79,0.4166026949302346,0.008363434244713908,0.01,1.4537109429948032,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
80,0.4164900087762925,0.016632247160505487,0.01,1.4813057649880648,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
81,0.416480021016249,0.014362715848608005,0.01,1.4535173610784113,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
82,0.4164643994507763,0.008698479301409124,0.01,1.435653535882011,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
83,0.4164343930349999,0.013373114896342757,0.01,1.4357472569681704,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
84,0.41636483364283805,0.07137614445775593,0.01,1.4833406750112772,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
85,0.4163469988568764,0.06262195791784475,0.01,1.4389158780686557,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
86,0.41625637805318993,0.015219522593795854,0.01,1.4341241610236466,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
87,0.41625155463229896,0.014149633582783816,0.01,1.4420946589671075,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
88,0.41569883268648555,0.11701838123677903,0.01,1.7385614120867103,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
89,0.4155959970984382,0.07411359140390958,0.01,1.4299383899196982,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
90,0.4155259122017004,0.007008447932018339,0.01,1.4444930630270392,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
91,0.4155231249899704,0.0097010321988491,0.01,2.8764102270361036,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
92,0.4155138348435562,0.01870908990644966,0.01,1.4416987709701061,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
93,0.4154769662112202,0.04334926651390028,0.01,1.4352253389079124,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
94,0.4154644850983848,0.03371534966430644,0.01,1.4352020490914583,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
95,0.4154407719933928,0.011782367968862697,0.01,1.4423079169355333,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
96,0.4154370644663259,0.011030614510588475,0.01,2.8668058179318905,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
97,0.4148534992443439,0.07713399705850736,0.01,1.729506754083559,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
98,0.41479939464793075,0.05013626308971519,0.01,1.4201817440334707,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
99,0.4147636737074071,0.009711676419855755,0.01,1.435619022930041,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
100,0.4147628983306157,0.007134585305720906,0.01,1.2858286169357598,1598.19140625,1677.1640625,1598.19140625,1598.19140625,1598.19140625,1598.19140625
