model,success,message,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error,opt_model_t,opt_true_var,opt_t_var_rel_error
linear,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1,1,1.7083902560407296,0.06526603576914103,0.09441760357669285,0.30875140549265045,0.06526603576914103,0.09441760357669285,0.30875140549265045,,0.06604687818705908,
quadratic,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4,10,10,33.439912020025076,0.08705595118772262,0.09441760357669285,0.07796906625564329,0.08100037106561846,0.09441760356936368,0.14210520068843185,0.06048526586731352,0.06604687819140415,0.08420704318488825
mixture_linear_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1,1,4.434972220100462,0.08556641015153761,0.09441760357669285,0.09374516075241895,0.08556641015153761,0.09441760357669285,0.09374516075241895,,0.06604687818705908,
mixture_linear_hep,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1,1,1.770503412000835,0.09083852785917342,0.09441760357669285,0.037906868867014276,0.09083852785917342,0.09441760357669285,0.037906868867014276,,0.06604687818705908,
alternating_hep_linear_cvar,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,5,5,17.73147591005545,0.09083852785917342,0.09441760357669285,0.037906868867014276,0.09083852785917342,0.09441760357669285,0.037906868867014276,,0.06604687818705908,
mixture_quadratic_kle,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,11,11,68.23810916999355,0.6589642811051442,0.09441760357669285,5.979252344292825,0.09272827862529259,0.09441760352794479,0.017892054442498168,0.06512864736474996,0.06604687821438701,0.013902713867209378
mixture_quadratic_hep,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,11,11,77.13408620071797,0.6376306160082372,0.09441760357669285,5.753302264130303,0.09357911274172367,0.09441760352761115,0.00888066159868453,0.06529619761420997,0.06604687821484317,0.011365875585993918
alternating_hep_quadratic_cvar,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,21,21,93.91507133691339,0.6376306160082372,0.09441760357669285,5.753302264130303,0.09357911271025637,0.09441760349933243,0.008880661635115323,0.06529580401864979,0.06604687823101116,0.011371835164325984
saa_1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,25,25,0.6570313913980499,0.07705033644602874,0.09441760357669285,0.18394098634961809,0.06034701073079253,0.09441760357368334,0.36085000628407365,0.0503423871058346,0.066046878192447,0.23777794676158276
saa_10,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,20,20,2.5297048109932803,0.13314739504536371,0.09441760357669285,0.4101967218137634,0.0775371722082186,0.09441760357219289,0.17878478933292674,0.06751842221748003,0.06604687819134872,0.022280296456525992
saa_100,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1,5,5,3.709838525042869,0.6365772523856866,0.09441760357669285,5.7421458316151,0.08319170306671822,0.0944176035748612,0.11889626598330538,0.06676552244145029,0.06604687818743049,0.010880820922078984
saa_200,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6,11,11,1.9721890205012944,0.6534981261656503,0.09441760357669285,5.9213589564877225,0.0870437730851991,0.09441760355822924,0.07809804734646279,0.06529565104196433,0.06604687819783152,0.011374150851112475
saa_500,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4,8,8,5.3227626599837095,0.6327943319762154,0.09441760357669285,5.702079993612778,0.0897874427863471,0.09441760355159136,0.04903916845034377,0.06518649834664779,0.06604687820136346,0.013026805780169428
saa_1000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,9,9,9.458576147817075,0.6393598174765878,0.09441760357669285,5.771616661052547,0.09136325362073891,0.09441760354230941,0.03234936925932266,0.06597506717610299,0.06604687820663918,0.0010872736529880535
saa_10000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,12,12,77.42935342049168,0.6585197507018064,0.09441760357669285,5.9745442137483264,0.09435618957476812,0.09441760352017495,0.0006504501609565809,0.06680203213450317,0.06604687821902977,0.011433604976288207
